,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id,month,day_of_week,hour_of_day,trip_duration,calculated_total_amount
0,15.7,1,0,2,45.0,0.0,0.5,0.0,0.0,0.3,45.8,132,146,10,5,16,3967,39.52581024003062
1,7.3,1,0,1,25.5,0.0,0.5,7.89,0.0,0.3,34.19,186,69,2,5,15,1491,41.67257184557296
2,14.87,1,0,1,40.5,0.5,0.5,8.36,0.0,0.3,50.16,138,89,9,1,22,1395,41.7833252654211
3,2.9,1,0,2,22.0,0.0,0.5,0.0,0.0,0.3,22.8,90,162,6,3,11,1742,39.32221506926082
4,8.96,1,0,1,32.0,0.0,0.5,0.0,5.76,0.3,38.56,138,186,4,4,10,1623,41.23714306288468
5,4.56,1,0,1,22.5,1.0,0.5,7.05,0.0,0.3,31.35,163,261,2,2,19,2273,41.69477406809956
6,14.8,1,0,1,42.0,0.0,0.5,8.56,0.0,0.3,51.36,132,29,12,0,8,1443,41.72713421028858
7,8.6,1,0,1,26.0,0.0,0.5,6.51,5.76,0.3,39.07,233,138,11,4,15,2528,41.5733644651772
8,17.53,3,0,1,68.0,0.0,0.0,20.2,12.5,0.3,101.0,234,1,2,4,6,1052,41.92051423573693
9,7.26,1,0,1,23.5,0.0,0.5,4.86,0.0,0.3,29.16,138,233,11,6,12,1808,41.83743297190841
10,7.56,1,0,1,29.5,0.0,0.5,7.21,5.76,0.3,43.27,88,145,3,1,10,2641,41.496367693352695
11,18.6,3,0,1,68.5,0.5,0.0,20.95,14.5,0.3,104.75,163,1,11,0,4,1655,42.110264697477916
12,15.7,1,0,1,48.0,1.0,0.5,0.0,0.0,0.3,49.8,132,89,5,1,17,2497,41.390392556041306
13,7.5,1,0,1,23.5,0.5,0.5,6.1,5.76,0.3,36.66,170,7,3,0,21,1870,41.43675837730536
14,4.4,1,0,1,22.0,0.0,0.5,4.56,0.0,0.3,27.36,151,161,6,2,12,3410,41.5223822405064
15,0.04,5,0,1,48.0,0.0,0.5,9.7,0.0,0.0,58.2,264,262,3,2,15,1171,51.169098238445386
16,6.12,1,0,1,21.5,1.0,0.5,2.7,0.0,0.3,26.0,231,140,6,1,19,1481,41.493462338936276
17,15.38,1,0,1,45.0,0.5,0.5,7.0,0.0,0.3,53.3,138,143,11,4,21,1837,41.7929752249572
18,9.7,1,0,1,34.5,0.0,0.5,12.3,5.76,0.3,53.36,48,138,11,2,10,1823,41.85558965003788
19,4.4,1,0,1,29.5,0.0,0.5,2.5,0.0,0.3,32.8,144,162,5,5,13,1625,41.30841859210666
20,11.2,1,0,1,45.5,0.0,0.5,11.55,0.0,0.3,57.85,138,249,5,3,14,2985,41.64604936964481
21,18.0,1,0,1,48.5,0.5,0.5,8.0,0.0,0.3,57.8,132,11,5,1,20,2139,41.71831015352667
22,3.6,1,0,1,28.5,0.0,0.5,5.86,0.0,0.3,35.16,144,230,7,4,13,927,41.41488720483384
23,0.2,1,0,1,3.0,0.0,0.5,0.75,0.0,0.3,4.55,236,236,4,2,7,4120,41.52098730529741
24,3.9,1,0,1,23.5,0.0,0.5,6.01,5.76,0.3,36.07,186,146,2,2,9,1888,41.27573903433793
25,11.26,1,0,2,36.5,0.5,0.5,0.0,0.0,0.3,37.8,48,257,3,6,22,2050,39.60344750844159
26,6.57,1,0,1,21.5,0.0,0.5,5.58,0.0,0.3,27.88,233,231,11,3,12,1534,41.6410266492327
27,8.6,1,0,1,27.5,0.0,0.5,6.8,5.76,0.3,40.86,138,233,2,4,10,4689,41.674699920539005
28,9.53,1,0,1,28.5,0.0,0.5,7.01,5.76,0.3,42.07,239,138,3,3,6,1398,41.47347632331645
29,13.4,1,0,1,40.5,0.5,0.5,12.5,0.0,0.3,54.3,138,225,6,6,20,1712,42.06419100604013
30,13.24,1,0,1,39.0,1.0,0.5,9.31,5.76,0.3,55.87,138,209,6,0,18,1041,41.69318985912352
31,10.08,1,0,1,38.0,1.0,0.5,11.39,5.76,0.3,56.95,138,249,3,1,17,1634,41.66499428087673
32,10.24,1,0,1,39.0,0.0,0.5,9.11,5.76,0.3,54.67,230,138,9,0,14,2879,41.30938499840284
33,7.61,1,0,1,23.0,0.5,0.5,5.39,2.64,0.3,32.33,166,200,12,3,22,1840,41.730893412532396
34,3.9,1,0,2,26.0,0.0,0.5,0.0,0.0,0.3,26.8,238,164,11,3,11,2235,39.14230111219209
35,15.34,1,0,1,42.0,0.5,0.5,8.66,0.0,0.3,51.96,138,89,5,2,23,2110,41.78931103445245
36,24.39,1,0,1,65.5,0.5,0.5,13.36,0.0,0.3,80.16,132,227,10,4,21,77,42.016465193847935
37,4.68,1,0,1,23.5,0.0,0.5,4.86,0.0,0.3,29.16,161,13,2,1,13,1805,41.35336225124007
38,8.9,1,0,1,29.0,0.5,0.5,2.8,0.0,0.3,33.1,113,166,3,5,0,2367,41.7604891106151
39,8.3,1,0,1,25.0,0.0,0.5,6.3,5.76,0.3,37.86,138,233,10,6,10,2576,41.802757209377134
40,9.95,1,0,1,29.0,0.5,0.5,4.2,5.76,0.3,40.26,138,90,11,3,1,2910,41.718259572412485
41,4.2,1,0,1,26.0,1.0,0.5,6.95,0.0,0.3,34.75,170,143,10,2,16,1668,41.63671419227979
42,8.24,1,0,1,24.0,0.0,0.5,6.11,5.76,0.3,38.62,140,138,10,6,8,3094,41.61898124763748
43,8.7,1,0,1,28.5,0.5,0.5,7.45,0.0,0.3,37.25,263,65,4,5,1,2530,41.74664600727694
44,8.11,1,0,2,23.5,0.0,0.5,0.0,5.76,0.3,30.06,138,75,3,5,18,1449,39.35155965397601
45,7.93,1,0,1,23.5,0.5,0.5,2.5,0.0,0.3,27.3,80,223,11,6,3,2000,41.98140925398894
46,8.12,1,0,1,23.5,0.5,0.5,6.11,5.76,0.3,36.67,138,263,10,5,0,67,41.866642240943946
47,6.58,1,0,1,22.0,1.0,0.5,4.76,0.0,0.3,28.56,164,61,3,2,19,3520,41.7187502338511
48,5.57,1,0,1,23.5,0.0,0.5,4.86,0.0,0.3,29.16,87,164,3,3,9,1409,41.61941724259995
49,3.63,1,0,1,22.0,0.0,0.5,5.7,0.0,0.3,28.5,186,140,8,2,11,1071,41.44944671987877
50,8.3,1,0,1,24.5,0.5,0.5,5.16,0.0,0.3,30.96,93,146,9,5,23,1143,41.88710604765286
51,11.64,1,0,1,33.5,0.0,0.5,4.0,5.76,0.3,44.06,263,228,6,2,7,2599,41.34149095547084
52,7.91,1,0,1,27.5,0.0,0.5,5.66,0.0,0.3,33.96,170,244,2,0,9,1946,41.482335080069134
53,4.7,1,0,1,23.0,0.5,0.5,4.86,0.0,0.3,29.16,90,238,12,5,21,1301,41.78333686247295
54,11.01,1,0,2,31.5,0.5,0.5,0.0,0.0,0.3,32.8,164,182,9,4,0,1881,39.63539073757533
55,2.62,1,0,1,29.5,0.0,0.5,6.06,0.0,0.3,36.36,164,141,3,1,9,1341,41.184715226159994
56,5.15,1,0,1,23.5,0.0,0.5,0.1,0.0,0.3,24.4,90,87,2,4,9,2880,41.43514957994772
57,20.59,1,0,1,60.0,1.0,0.5,0.0,5.76,0.3,67.56,219,81,5,0,20,1636,41.03997443110795
58,8.81,1,0,1,36.0,0.0,0.5,8.51,5.76,0.3,51.07,138,164,6,0,8,1685,41.379119698535746
59,9.54,1,0,2,36.5,0.5,0.5,0.0,0.0,0.3,37.8,186,129,2,4,4,1952,39.30343440994393
60,15.2,1,0,1,45.5,0.0,0.5,13.0,5.76,0.3,65.06,161,226,3,3,13,1327,41.701518666893065
61,0.3,1,0,1,3.0,0.0,0.5,0.95,0.0,0.3,4.75,114,79,1,6,11,1172,41.689744438247374
62,14.6,1,0,2,41.0,0.5,0.5,0.0,0.0,0.3,42.3,229,51,2,4,4,3264,39.422916329822584
63,11.4,1,0,1,42.0,1.0,0.5,9.91,5.76,0.3,59.47,138,48,3,3,17,1388,41.60060580618025
64,16.59,3,0,1,76.5,1.0,0.0,23.7,17.0,0.3,118.5,48,1,3,1,16,2829,42.02575171956527
65,5.9,1,0,1,21.5,0.5,0.5,4.55,0.0,0.3,27.35,264,264,3,6,20,3211,41.632152896848936
66,15.6,1,0,1,44.0,0.5,0.5,9.05,0.0,0.3,54.35,142,219,6,0,20,1906,41.74056430410252
67,5.3,1,0,1,22.5,0.0,0.5,4.0,0.0,0.3,27.3,100,87,9,2,15,1838,41.57021100249556
68,10.12,1,0,1,32.5,0.0,0.5,7.81,5.76,0.3,46.87,138,237,6,2,14,1534,41.55761358040621
69,7.28,1,0,1,26.0,0.0,0.5,6.7,0.0,0.3,33.5,229,138,10,3,7,1944,41.62635263365351
70,8.32,1,0,1,27.5,0.5,0.5,5.76,0.0,0.3,34.56,79,41,4,3,20,1797,41.74642027556964
71,8.95,1,0,2,28.5,0.5,0.5,0.0,0.0,0.3,29.8,229,138,6,3,5,4075,39.463285701124484
72,8.9,1,0,1,25.5,0.5,0.5,8.1,5.76,0.3,40.66,138,141,8,1,20,2811,41.72951639799763
73,8.91,1,0,2,25.5,0.5,0.5,0.0,0.0,0.3,26.8,132,135,12,0,0,1276,39.58223677722398
74,10.23,1,0,2,34.0,1.0,0.5,0.0,5.76,0.3,41.56,138,163,1,4,17,2745,39.37260604454707
75,15.67,1,0,1,44.0,0.5,0.5,9.06,0.0,0.3,54.36,88,95,4,4,0,1914,42.00652701967041
76,5.8,1,0,1,32.0,1.0,0.5,5.04,5.76,0.3,44.6,100,7,9,1,18,2279,41.391116081396845
77,10.23,1,0,1,33.0,1.0,0.5,8.11,5.76,0.3,48.67,138,161,2,2,17,1537,41.662537536899066
78,9.9,1,0,1,35.5,0.0,0.5,8.4,5.76,0.3,50.46,48,138,6,0,9,2518,41.57624641371652
79,2.3,1,0,1,24.5,1.0,0.5,5.25,0.0,0.3,31.55,237,186,10,3,16,2015,41.460075872418386
80,8.4,1,0,1,44.5,0.0,0.5,9.05,0.0,0.3,54.35,161,75,10,3,14,1389,41.36511867124838
81,10.5,1,0,2,31.5,0.5,0.5,0.0,0.0,0.3,32.8,100,70,2,6,5,46,39.603216527005515
82,9.11,1,0,2,31.0,0.5,0.5,0.0,0.0,0.3,32.3,114,168,8,4,20,1610,39.498808776465175
83,6.5,1,0,1,23.0,0.5,0.5,4.86,0.0,0.3,29.16,186,41,11,0,20,2042,41.5512207067527
84,7.4,1,0,1,27.0,0.5,0.5,4.0,0.0,0.3,32.3,246,25,3,3,20,2055,41.40231237388741
85,3.6,1,0,1,22.5,0.0,0.5,4.66,0.0,0.3,27.96,68,140,1,1,11,2179,41.4685137233632
86,8.62,1,0,1,29.0,0.0,0.5,7.45,0.0,0.3,39.2,4,87,3,0,9,900,41.541564830484745
87,9.73,1,0,1,32.0,0.5,0.5,7.81,5.76,0.3,46.87,138,163,10,4,20,1106,41.6920404912586
88,6.86,1,0,1,24.0,0.5,0.5,20.0,0.0,0.3,45.3,231,238,9,3,23,1563,42.22100451646466
89,9.8,1,0,1,35.0,0.0,0.5,8.31,5.76,0.3,49.87,90,138,6,2,12,2103,41.568425438526674
90,9.0,1,0,1,33.5,0.0,0.5,8.0,5.76,0.3,48.06,170,138,11,1,11,2617,41.47529689402774
91,12.17,1,0,1,34.0,0.5,0.5,2.7,0.0,0.3,38.0,140,257,5,6,4,2713,41.83519997913265
92,11.43,1,0,2,36.5,0.0,0.5,0.0,5.76,0.3,43.06,138,107,8,4,11,2304,39.28730117537253
93,6.94,1,0,1,24.0,1.0,0.5,5.16,0.0,0.3,30.96,237,70,6,0,18,1344,41.52557125179672
94,26.2,1,0,1,69.0,0.5,0.5,17.55,0.0,0.3,87.85,132,257,11,2,23,3520,42.22187477388043
95,9.29,1,0,1,34.5,1.0,0.5,4.21,5.76,0.3,46.27,162,52,3,0,19,82,41.25499171156797
96,0.2,1,0,2,3.0,0.0,0.5,0.0,0.0,0.3,3.8,237,141,4,3,10,2609,39.44551410577593
97,10.0,1,1,1,30.5,0.5,0.5,7.51,5.76,0.3,45.07,238,138,8,4,5,1731,40.31321034987316
98,7.8,1,0,1,28.5,1.0,0.5,6.06,0.0,0.3,36.36,138,80,11,1,17,2103,41.74368026828285
99,9.1,1,0,1,34.0,0.5,0.5,4.0,5.76,0.3,45.06,234,95,11,1,21,1343,41.212671549547295
100,4.6,1,0,1,26.0,0.0,0.5,5.36,0.0,0.3,32.16,236,249,12,5,13,3453,41.533904111024924
101,18.01,5,0,1,80.0,0.0,0.5,18.66,12.5,0.3,111.96,231,132,3,3,6,1253,38.8971377588193
102,9.32,1,0,2,30.0,1.0,0.5,0.0,5.76,0.3,37.56,138,68,8,4,19,1393,39.435935307589475
103,5.8,1,0,1,25.5,0.0,0.5,3.95,0.0,0.3,30.25,45,263,11,6,16,1358,41.77288928331417
104,6.3,1,0,2,22.0,0.0,0.5,0.0,0.0,0.3,22.8,4,239,7,6,19,2005,39.71871941931906
105,11.3,1,0,1,50.0,0.0,0.5,11.31,5.76,0.3,67.87,138,233,9,1,7,1671,41.371151407645186
106,9.72,1,0,1,27.0,0.5,0.5,6.81,5.76,0.3,40.87,138,229,2,0,20,1986,41.58285613035421
107,3.59,1,0,1,21.5,0.0,0.5,4.46,0.0,0.3,26.76,164,43,9,2,8,1416,41.4508358994149
108,4.04,1,0,1,23.5,1.0,0.5,5.06,0.0,0.3,30.36,186,262,9,3,19,1391,41.614541045709316
109,12.5,1,0,1,41.0,0.0,0.5,10.45,0.0,0.3,52.25,74,138,3,6,15,1325,41.88536750087172
110,12.05,1,0,1,36.0,0.5,0.5,7.46,0.0,0.3,44.76,132,61,2,5,1,2437,41.89594982324061
111,13.71,1,0,1,46.5,0.0,0.5,10.61,5.76,0.3,63.67,138,158,5,1,12,1410,41.47172056682838
112,6.5,1,0,1,28.5,1.0,0.5,6.05,0.0,0.3,36.35,48,80,3,1,18,1631,41.69550655911256
113,3.5,1,0,1,22.5,0.5,0.5,4.75,0.0,0.3,28.55,162,236,9,0,21,1788,41.435420032363275
114,11.01,1,0,1,32.0,0.5,0.5,7.81,5.76,0.3,46.87,138,230,2,1,20,1752,41.6012539772321
115,15.53,1,0,1,44.5,0.0,0.5,11.32,0.0,0.3,56.62,132,145,3,3,13,1734,41.837332344987
116,8.86,1,0,1,25.5,0.5,0.5,6.7,0.0,0.3,33.5,137,228,3,2,1,1452,41.858672936325526
117,18.2,3,0,2,68.5,0.0,0.0,0.0,21.0,0.3,89.8,162,1,6,6,9,1339,39.087171497498005
118,12.3,1,0,1,37.5,1.0,0.5,4.72,0.0,0.3,45.97,231,127,6,4,19,2109,41.437105176902904
